Course/Professor,Comments,Course Title,Course Number
corporate finance (kelly shue),Great class covering major corp finance topics. Prof Shue is engaging with real-world events. Very light workload (3 group HW). TAs review HW before it's due.,corporate finance,MGT 541
corporate finance (christopher clayton),"Nice professor, more surface-level coverage than Shue. Not as in-depth.",corporate finance,MGT 541
financial reporting (thomas steffen),"Builds on accounting but is clear and caring. Focuses on cost allocation and managerial decisions. Minimal heavy math, medium workload.",financial reporting,MGT 871
investment management,"Investor 2.0 style. Pinkham is engaging, sometimes technical. Medium-light workload, good for finance interest.",,
mergers & acquisitions (simon hirst),"Deep dive into deals. Prof has strong industry experience, not overly heavy workload.",mergers & acquisitions,MGT 635
private equity & venture capital (song ma),"Covers VC/PE lifecycle (fund setup, exits). Interesting cases, some modeling. Useful for investing/founding interests.",private equity & venture capital,
private equity: lbo (josh cascade),"Real-world cases, modeling, guest speakers. Intensive but practical.",private equity: lbo,
renewable energy project finance (repf),Demanding but very practical. Weekly HW with real contracts and modeling. Great for infrastructure/energy finance.,renewable energy project finance,MGT 683
advanced business analytics,Builds on MMD with simulation in R. Group problem sets. Approach depends on professor but generally approachable.,,
ai strategy & marketing,Can feel dry if you know AI basics. Good for newcomers but discussions can be low-energy. Content may vary by semester.,,
big data & customer analytics (data science),"Uses R, no prior experience needed. Group assignments. Light-medium workload, introduces ML techniques.",big data & customer analytics,
database systems (kyle jensen),Fast-paced coverage of SQL/NoSQL. Frequent quizzes/HW. Non-techies can manage but expect a setup learning curve. AI tools allowed.,database systems,MGT 858
decision making with data (peter schott),Teaches frameworks for data interpretation and causal inference. Moderate workload with some assignments.,decision making with data,MGT 803
generative ai & social media (tauhid zaman),"Highly praised, fun, Python coding. Tauhid is supportive, no prior coding needed. Light-medium workload.",generative ai & social media,
management of software development (kyle jensen),"Polarizing: some love, some hate. Quizzes each class, coding weekly. Good for hands-on experimenting, can be chaotic.",management of software development,MGT 656
product management (alex burnap),"Initially repetitive, improves later (retention curves, A/B testing). Group projects. Alex iterates based on feedback.",product management,MGT 561
strategic market measurement (sudhir),Some find it chaotic. Covers cluster analysis and encourages ChatGPT. Medium workload. May feel redundant if taken other analytics.,strategic market measurement,MGT 851
competitive strategy (esp. w/ fiona scott morton in spring),"Extension of Competitor. Highly recommended for consulting prep. Medium workload: a few assignments, final project, quizzes. Fiona is widely praised.",competitive strategy,MGT 525
entrepreneurship through acquisition / patterns in entrepreneurship (a.j. wasserstein),"Case-driven, practical. Participation key. Surveys, midterm, final. Great for various entrepreneurial paths.",entrepreneurship through acquisition / patterns in entrepreneurship,
managerial controls (thomas steffen),"Not just accounting—focus on cost allocation and decisions. Engaging, minimal heavy math. Light-medium workload.",managerial controls,MGT 815
public health entrepreneurship (chahine),"Digital health focus, founders join class. Light workload: cases, final presentation. Good for healthcare innovation interest.",public health entrepreneurship,MGT 631
supply chain management (sang kim),More qualitative than expected. Provides good overview but not highly quantitative. Medium workload.,supply chain management,MGT 873
everyday leadership (heidi brooks),"Builds on IPD concepts. Focus on personal leadership style. Medium participation, reflection required.",everyday leadership,MGT 503
human capital strategy (jim baron),"Workforce 2.0, practical people management. Medium workload. Opinions vary; some find it repetitive.",human capital strategy,MGT 624
interpersonal dynamics (ipd),Intense trust-building and feedback exercises. Significant time/emotional commitment. Highly recommended for personal growth.,interpersonal dynamics,MGT 531
leadership lab,"Focus on coaching and immunity to change. Less intense than IPD, builds personal leadership skills.",,
nonmarket strategy,Examines biz interactions with politics/regulations. Interesting cases. Light-medium workload.,,
inequality & social mobility (zimmerman),Data-driven econ approach to inequality. Manageable assignments. Great for those interested in societal issues.,inequality & social mobility,
market failures & economic policy in developing countries (donovan),"Highly regarded. Understand global growth issues. Short assignments, approachable.",market failures & economic policy in developing countries,
urban poverty & economic development,Good intro to urban planning and poverty. Light-medium workload.,,
sustainable innovation in healthcare (licholai),"Digital health/medtech focus, guest speakers. Very light workload. Interesting trends in healthcare.",sustainable innovation in healthcare,MGT 995
narratives in health media (hamblin),"Focus on communication, storytelling, combating misinformation. Light workload, creative writing.",narratives in health media,MGT 668
business ethics,"Light workload: short case posts, a few short papers. Discussion-based. Quality depends on professor; Dana/Cusimano praised, Marciano less so.",,
political ethics & issues for organizations,"Explores lobbying, corporate political actions, moral dimensions. Unique perspective.",,
personal finance (james choi),"Economic lens on personal finance advice. Math/Excel heavy problem sets. No exams, final project. Interesting insights.",personal finance,MGT 540
america’s future role in the global economy (garten),"Economic policy + international relations, guest speakers, moderate readings. 4 hrs/week prep.",america’s future role in the global economy,MGT 896
the global financial crisis (metrick & geithner),Must-take for understanding monetary/fiscal policy. Heavier workload but worth it. Top-tier instructors.,the global financial crisis,
managerial controls (steffen),"Discussed above, but reaffirming: great, minimal heavy math.",managerial controls,MGT 815
science and experiences of well-being (gal),Lit review of OB psych studies. Some found it dry. Light-medium workload.,science and experiences of well-being,
insurance and finance for the poor,"Focus on microfinance, insurance in developing contexts. Low-medium workload, eye-opening data.",,
urban poverty & economic development,"As above, encourages cross-discipline thinking, light-medium work.",,
ipd vs. leadership lab vs. mip (mastering influence & persuasion),"IPD is most intense emotionally, Leadership Lab and MIP more toolkit-based. IPD recommended first if you want deeper interpersonal growth.",ipd vs. leadership lab vs. mip,
"ai, finance, entrepreneurship & tech generally","Several classes offer cross-functional skills. Explore M&A, REPF, or advanced analytics if interested in intersections.",,
